Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Sleep_Hours,Previous_Scores,Motivation_Level,Tutoring_Sessions,Family_Income,Teacher_Quality,Peer_Influence,Physical_Activity,Parental_Education_Level,Distance_from_Home,Exam_Score,Gender_Male,School_Type_Public,Internet_Access_Yes,Extracurricular_Activities_Yes,Learning_Disabilities_Yes
29,62,2,1,8,74,1,1,0,1,0,3,1,0,66,1,0,1,1,1
32,87,1,2,7,71,1,0,2,0,1,4,1,0,72,1,1,1,1,1
32,96,1,0,7,97,0,1,0,1,1,5,1,1,73,1,1,1,1,0
27,92,2,1,6,62,2,0,1,2,2,4,1,0,73,1,1,1,0,0
26,67,0,1,5,62,2,0,1,1,0,2,0,1,63,1,1,1,1,0
24,72,2,1,7,95,1,3,0,1,0,2,2,0,69,1,1,1,1,0
25,89,0,0,6,82,2,2,0,1,1,6,2,0,71,1,1,1,1,0
17,63,2,1,9,53,2,1,0,2,1,4,1,1,63,1,1,1,0,0
15,92,1,2,5,84,1,0,2,0,2,5,0,1,69,0,1,1,1,0
20,89,2,2,10,91,0,3,1,1,1,3,1,1,72,1,0,1,1,0
19,89,2,0,7,64,1,2,0,1,2,4,2,1,68,0,1,1,1,1
17,64,0,2,7,69,1,1,1,1,0,3,0,0,62,0,1,1,0,0
24,89,0,2,6,60,1,1,0,1,1,2,0,0,68,1,0,1,1,0
26,87,1,1,8,82,2,1,0,1,0,2,2,0,71,1,1,1,1,0
21,93,1,0,7,83,0,1,2,2,1,3,0,1,67,1,1,0,1,1
29,62,0,2,7,53,2,0,0,1,2,3,1,1,65,0,0,1,1,0
13,61,0,1,8,84,2,1,1,2,1,3,2,2,60,1,1,0,1,1
19,75,1,2,8,83,2,2,2,1,1,2,0,0,68,1,1,1,1,0
16,66,0,1,9,52,1,1,1,0,0,3,0,0,59,1,1,1,1,1
9,82,2,1,8,78,1,0,2,1,1,0,0,1,64,0,1,1,0,0
20,97,2,1,6,81,2,2,0,0,1,3,0,1,71,1,1,1,1,0
19,76,2,2,4,72,0,2,2,1,1,2,1,1,68,0,1,1,0,0
29,94,0,1,7,95,1,2,0,1,1,3,1,1,70,1,1,0,1,1
24,60,0,0,7,66,1,1,1,2,1,4,1,0,62,0,1,1,0,0
14,67,1,1,10,53,1,2,2,1,1,3,1,0,62,1,1,1,0,0
31,61,2,1,7,84,1,2,1,1,1,3,0,0,68,1,0,1,0,0
27,73,1,1,8,80,0,3,1,1,0,3,0,0,68,0,0,1,0,0
23,96,1,1,8,99,2,3,0,0,2,4,0,0,74,0,1,1,1,0
19,64,0,1,8,62,1,0,2,1,2,4,1,0,61,1,1,1,0,1
14,84,1,1,8,70,1,1,0,2,1,5,1,0,67,1,1,1,1,0
18,78,1,0,6,73,1,1,2,2,2,2,0,1,65,0,1,1,0,0
27,98,0,1,6,93,0,5,2,2,2,3,0,1,101,0,1,0,1,0
31,65,1,0,7,71,1,1,0,1,1,4,0,1,65,1,1,1,1,0
29,68,1,1,4,89,1,0,1,1,1,4,1,0,67,1,0,1,0,1
17,61,1,2,7,58,0,2,0,1,2,3,0,0,61,0,1,1,1,1
13,77,1,1,6,70,1,3,1,2,1,4,0,0,64,1,1,1,0,1
21,71,2,0,7,58,2,1,1,2,2,3,1,2,64,0,1,1,0,1
9,95,1,1,7,97,1,1,0,0,1,2,1,0,67,1,1,1,1,0
22,84,1,1,5,59,1,0,2,2,2,3,1,0,69,0,0,1,1,0
19,85,2,1,9,71,0,1,1,2,2,2,2,1,69,0,1,1,1,0
17,81,2,1,7,54,1,4,0,1,2,3,0,0,67,0,1,1,0,0
10,64,1,2,8,96,1,1,1,1,1,3,0,1,62,1,1,1,0,0
23,78,0,2,7,81,1,0,0,1,1,1,0,0,66,1,0,1,0,0
17,100,2,1,8,98,0,0,1,2,2,4,1,0,72,1,1,1,0,0
13,93,1,1,5,52,0,2,1,1,2,3,1,0,67,0,1,1,1,0
3,96,2,2,9,59,1,2,0,1,0,3,1,1,66,0,1,1,1,0
20,93,0,0,8,69,1,2,0,1,1,4,0,1,67,1,1,1,1,0
31,64,2,0,7,81,0,1,1,1,2,4,0,0,67,0,1,1,1,0
30,69,1,1,7,66,1,0,1,0,2,4,2,0,68,0,1,1,1,0
17,60,2,1,9,86,1,0,0,2,2,2,0,0,63,1,1,1,1,0
16,72,1,2,6,58,0,1,1,1,0,2,0,2,62,1,1,1,0,0
23,64,2,1,5,80,0,3,1,2,0,2,1,1,65,0,1,1,1,1
14,79,1,1,6,70,1,1,0,1,2,6,1,1,65,1,1,1,1,0
22,87,1,2,7,75,1,0,1,2,2,2,1,0,70,0,1,1,1,1
25,95,0,1,7,78,1,7,0,1,2,4,0,0,73,1,1,1,0,0
27,90,2,1,9,53,1,1,1,2,2,2,2,0,73,0,1,1,1,0
19,98,1,0,6,96,1,2,0,1,0,2,0,1,68,1,0,0,1,0
19,62,1,0,6,89,2,3,1,1,2,1,0,1,63,1,1,1,0,0
15,60,1,0,5,72,2,2,2,2,2,2,0,0,62,1,1,1,1,0
15,86,2,1,8,77,1,0,1,1,2,3,2,0,69,1,1,1,1,0
19,72,1,2,5,52,1,2,1,1,1,3,2,0,66,1,1,1,0,0
22,70,1,2,8,75,2,0,1,1,2,3,2,0,68,1,0,1,1,0
25,73,2,1,6,71,0,0,0,1,2,3,1,2,67,0,0,1,1,0
15,71,2,2,6,69,0,2,0,2,0,4,1,0,65,0,0,1,1,0
29,80,0,1,10,91,2,1,2,1,2,3,1,1,70,1,1,0,1,0
18,78,0,1,9,59,2,0,2,2,2,1,0,1,64,0,0,0,1,0
20,80,0,0,7,59,2,2,1,2,1,3,0,1,65,1,0,1,1,0
16,87,1,1,5,76,2,1,0,2,1,2,2,2,67,0,0,1,0,0
5,75,1,0,10,84,1,0,2,1,1,4,2,1,62,0,0,1,1,0
25,70,1,1,7,51,2,3,0,1,2,4,0,1,66,1,1,1,1,0
24,67,2,2,7,77,0,0,2,1,2,2,1,0,68,0,1,1,1,0
18,74,1,0,8,65,2,0,1,2,2,4,1,1,64,0,1,1,0,0
20,90,2,0,4,88,1,3,0,1,0,3,0,1,69,1,1,1,0,0
23,90,1,1,6,73,0,1,2,1,2,2,0,0,69,0,0,0,1,0
11,87,1,1,7,92,1,1,1,1,2,5,0,1,67,0,1,1,1,0
17,69,1,1,7,70,0,0,0,2,1,3,1,1,61,1,1,1,1,1
25,84,2,1,5,91,0,1,1,1,2,4,2,1,70,0,1,1,1,1
12,83,0,1,7,86,0,1,2,1,0,4,1,0,65,0,1,1,1,0
22,79,1,1,7,91,0,0,0,1,2,4,1,1,66,1,1,1,1,1
12,82,0,1,10,91,1,3,0,1,0,3,2,0,66,1,1,1,1,0
23,80,1,2,9,74,1,4,1,1,0,3,0,1,69,1,1,1,1,0
20,83,1,1,7,68,2,1,1,1,2,1,0,0,67,0,1,1,1,0
10,89,2,2,7,88,1,2,2,1,2,2,2,0,71,0,0,1,1,0
27,64,2,2,9,68,2,1,0,2,1,4,0,0,68,1,0,1,1,0
16,90,1,1,7,54,2,2,1,1,2,3,0,0,67,0,1,0,0,0
15,65,2,1,5,93,0,2,0,1,1,4,0,0,63,0,1,1,0,1
21,63,1,1,10,70,0,1,2,2,2,2,1,0,64,0,0,1,0,0
27,99,2,1,6,57,1,3,0,1,1,3,1,1,73,1,1,1,1,0
14,98,1,1,10,82,2,1,0,1,2,3,0,1,69,1,0,1,1,0
20,62,2,0,8,94,2,1,1,1,2,3,0,0,65,0,1,1,0,0
23,78,2,0,6,93,1,0,1,2,2,5,2,0,70,1,0,1,1,0
24,67,2,1,4,78,0,1,0,2,2,2,0,0,67,0,1,1,1,0
21,79,1,0,8,54,2,3,0,1,2,3,2,1,67,0,1,1,1,0
18,93,1,2,5,85,1,0,0,1,2,3,0,0,70,1,1,1,1,0
15,98,2,0,8,80,0,2,2,2,0,2,2,0,69,0,1,0,0,0
21,85,2,1,10,61,2,2,1,1,1,2,0,0,68,1,1,1,0,1
14,74,1,2,5,95,2,1,0,2,2,3,1,0,66,1,1,1,0,1
2,84,0,2,8,54,0,3,0,0,2,4,0,0,62,1,1,1,0,0
23,72,1,1,6,69,0,2,2,1,2,4,0,0,67,1,1,1,1,0
25,96,1,0,9,55,2,2,1,2,1,4,0,1,71,1,1,1,1,0
6,95,2,1,7,96,1,4,0,1,1,2,0,1,68,0,1,1,1,0
14,82,2,1,7,52,2,3,0,1,0,2,0,0,66,0,1,1,1,0
24,73,0,1,9,71,2,0,0,1,1,3,0,1,64,1,1,1,1,0
32,72,2,1,8,93,0,1,0,1,1,4,2,0,71,0,0,1,1,0
20,61,0,0,6,63,1,1,1,2,2,4,1,2,61,1,1,1,1,0
16,93,1,2,10,55,1,2,0,1,1,2,1,0,67,1,1,0,0,0
19,78,1,0,5,56,0,3,2,1,1,4,1,1,65,0,1,1,1,0
28,73,2,1,7,70,0,0,0,1,0,6,1,1,66,0,0,0,1,0
16,79,2,2,6,71,1,2,0,2,1,4,0,0,68,0,1,1,1,0
15,93,1,1,5,86,1,0,0,1,1,2,1,2,66,1,1,1,0,0
17,65,1,1,5,62,1,2,1,1,2,4,0,0,63,0,1,1,0,0
14,94,0,0,7,85,0,1,2,1,1,3,0,1,66,0,1,1,1,0
21,96,1,2,8,100,1,1,2,1,2,2,1,0,73,0,0,1,0,0
30,98,1,0,9,93,1,1,0,0,2,3,0,0,88,1,0,1,1,0
22,76,1,1,9,82,2,0,1,2,1,4,0,0,67,1,0,1,0,0
18,69,2,2,7,97,1,2,1,1,2,2,1,0,69,0,1,1,1,0
18,75,1,0,6,100,2,2,0,1,2,3,0,0,67,0,1,1,1,0
11,73,1,2,9,79,1,1,0,2,1,2,0,0,64,1,1,1,1,0
25,67,1,2,6,64,1,0,0,1,1,2,0,1,64,1,1,0,1,0
20,84,0,1,5,96,0,1,0,1,0,2,0,0,65,1,1,1,0,0
19,79,1,1,8,92,2,1,1,2,2,2,0,0,68,1,1,1,0,0
39,95,1,2,9,54,2,2,1,1,2,3,0,1,77,1,0,1,1,0
22,61,1,1,6,97,2,0,0,2,0,2,0,0,63,1,1,1,1,1
15,86,2,2,10,68,1,0,2,1,1,5,1,0,69,1,1,1,1,0
17,91,1,1,8,66,1,3,1,0,2,2,1,0,69,1,1,1,1,0
27,90,1,0,8,67,1,2,1,1,0,3,2,0,70,1,1,1,0,0
21,95,2,1,6,66,2,1,1,2,2,4,1,0,73,1,1,1,1,0
11,89,1,0,9,76,1,1,1,2,1,3,2,2,66,1,1,1,1,0
26,97,1,0,5,79,2,2,0,0,2,3,0,0,71,0,0,1,0,0
16,73,1,0,6,71,1,2,2,2,2,5,1,0,66,1,1,1,1,0
31,80,1,1,6,71,2,2,0,2,1,3,0,0,71,0,1,1,1,0
26,61,1,0,5,87,1,3,2,2,2,2,0,0,66,1,1,1,1,1
17,60,1,2,8,50,2,0,0,2,2,4,0,0,63,0,1,1,1,0
28,70,2,2,8,97,1,5,0,0,0,5,0,0,70,1,1,1,1,1
20,64,2,1,8,86,1,1,1,1,1,2,2,0,66,1,1,1,1,0
25,70,1,1,7,85,1,1,1,1,0,4,0,0,66,1,1,1,0,0
23,67,1,1,8,71,2,2,1,1,1,4,1,1,66,0,1,1,0,0
15,61,1,1,7,98,1,1,1,1,1,3,0,0,62,1,1,1,0,0
16,96,1,1,6,50,2,1,1,2,2,3,1,0,69,1,1,1,0,0
26,60,0,2,6,54,0,1,0,1,2,1,2,1,63,1,0,1,1,0
18,89,1,0,4,90,0,1,2,1,2,2,2,0,68,0,1,1,1,1
18,66,1,2,9,87,1,1,1,0,2,3,0,1,64,1,0,1,0,0
14,96,0,2,9,64,2,2,0,2,1,3,2,1,69,1,1,1,1,0
23,96,0,1,10,80,0,3,0,2,2,3,0,0,71,1,1,1,1,0
32,86,1,1,6,77,1,2,1,0,0,4,0,0,71,1,0,0,1,0
14,87,1,1,6,76,1,1,0,1,2,4,1,2,66,0,0,1,0,0
20,60,1,1,4,80,0,2,2,1,2,3,1,1,63,1,0,1,1,1
28,99,0,1,8,100,0,0,1,1,2,2,0,2,72,1,1,1,1,0
20,95,1,1,8,99,0,1,0,1,1,3,1,0,70,0,0,0,1,0
23,96,1,0,9,99,1,0,2,1,1,2,1,0,71,0,0,1,0,0
14,86,0,0,6,77,1,3,2,1,1,3,0,2,65,1,0,1,1,0
23,74,1,0,8,66,0,0,2,1,0,4,2,0,65,0,1,1,1,0
19,96,0,1,6,78,2,1,0,0,2,2,0,2,67,1,1,1,0,0
26,72,2,1,9,81,2,0,1,2,1,3,0,0,68,1,1,1,0,0
27,83,1,1,8,66,1,3,1,1,2,4,1,2,70,0,1,1,1,0
36,64,1,1,5,82,1,2,1,2,2,2,0,0,70,0,0,1,1,0
23,97,0,2,7,81,0,2,1,2,1,3,0,0,72,1,1,1,1,0
22,66,1,2,4,95,1,1,0,0,1,5,1,1,65,1,1,1,0,0
21,69,1,1,5,62,2,2,0,1,2,3,0,0,65,1,1,1,1,0
18,82,2,1,5,85,2,3,1,2,1,4,2,0,71,1,0,1,1,0
22,91,2,2,6,73,0,3,2,1,2,4,2,0,74,1,1,1,1,0
18,85,0,1,7,56,0,0,0,1,2,4,0,1,64,1,0,1,0,0
21,69,1,1,7,66,2,1,1,1,1,4,0,2,64,0,0,1,0,0
28,60,1,2,7,53,0,3,0,1,1,3,0,0,65,0,0,1,1,0
14,90,0,1,7,66,1,1,1,1,1,5,1,0,67,1,1,1,1,0
27,99,2,1,7,53,0,2,0,2,1,3,1,0,73,1,1,1,0,0
28,92,0,2,5,96,2,1,1,0,1,3,1,1,72,1,1,1,0,0
19,78,1,1,7,55,0,0,1,1,2,3,1,0,65,1,1,1,0,0
7,96,1,2,9,91,1,0,0,1,1,4,1,0,67,1,1,1,0,0
16,76,1,1,7,95,0,2,1,1,0,3,0,0,66,0,1,1,1,0
28,81,2,1,8,73,0,0,1,2,0,3,2,0,70,1,1,1,1,0
20,79,2,1,8,53,1,2,1,1,1,3,0,1,66,0,0,1,0,0
14,78,2,2,8,80,0,1,1,1,1,1,0,0,66,0,1,1,1,0
17,91,1,0,7,62,0,3,2,1,0,3,2,0,68,1,1,1,1,0
25,81,0,1,8,59,0,3,0,1,2,4,1,0,68,1,1,1,1,0
23,73,2,2,8,78,0,0,2,1,1,4,0,1,67,0,1,1,0,0
19,70,2,1,8,68,2,1,0,1,2,3,1,0,65,0,1,0,1,0
18,62,1,0,8,87,1,4,0,1,2,4,1,0,64,0,1,1,1,0
18,83,2,1,5,80,2,1,2,2,2,2,1,0,70,1,1,1,0,0
14,69,0,1,5,91,1,0,2,1,2,3,1,1,63,1,1,1,0,0
30,66,1,2,6,53,0,2,0,1,2,2,0,0,65,1,1,0,0,0
18,86,0,1,9,62,1,4,1,1,0,2,2,0,67,0,1,1,1,1
27,87,1,1,7,78,0,3,0,1,0,5,0,0,71,0,0,1,1,0
29,90,2,1,7,94,1,1,0,0,1,4,0,0,73,0,0,1,1,0
26,80,1,1,4,91,0,1,0,1,1,3,0,2,67,1,0,1,0,0
17,96,2,1,7,84,1,2,0,2,2,3,1,0,72,0,0,1,1,0
22,97,1,1,7,79,2,2,1,2,2,0,0,2,71,1,1,1,0,0
20,92,1,2,4,82,2,0,1,1,1,4,2,0,72,1,1,1,1,0
15,85,2,2,7,61,1,1,1,2,0,3,0,0,68,1,1,1,1,0
22,72,0,0,5,80,1,2,0,2,1,3,1,0,65,0,1,1,1,0
13,99,2,1,6,75,0,1,1,1,2,4,1,2,68,0,1,1,0,1
27,71,1,0,8,69,1,1,2,1,2,4,1,0,67,1,1,1,0,0
17,68,1,1,7,94,2,1,2,1,1,4,1,1,66,0,0,1,0,0
21,78,1,0,6,91,1,0,1,0,1,1,0,0,64,1,0,1,1,1
22,62,2,1,6,54,1,3,0,1,1,3,2,0,65,1,0,1,0,0
18,99,1,1,6,99,1,0,0,1,1,3,0,1,69,1,1,1,0,0
24,84,1,1,7,61,1,2,1,1,2,2,0,2,68,1,1,1,1,0
17,82,2,2,5,61,1,3,1,1,1,4,2,0,69,1,1,1,0,0
25,86,1,1,9,97,0,1,2,1,1,3,0,1,70,1,0,1,1,0
12,80,2,1,5,72,1,1,2,1,2,4,0,0,65,0,0,1,0,1
21,61,1,1,4,90,0,2,1,0,1,3,0,0,63,1,1,1,0,0
32,84,0,1,8,64,1,1,0,2,2,3,1,0,71,0,0,1,1,0
14,89,1,2,6,94,0,0,0,1,1,2,2,0,68,1,0,1,1,0
16,77,1,1,7,92,2,5,0,2,2,3,2,0,70,0,1,1,1,0
23,90,1,2,8,76,2,2,1,0,2,3,0,0,72,0,1,1,1,0
21,69,1,1,6,85,1,3,0,0,1,1,1,2,64,0,1,1,1,0
22,69,0,1,7,98,0,0,0,1,2,2,2,1,64,1,1,1,0,0
23,66,1,0,8,73,2,2,2,1,2,2,1,0,66,0,1,1,1,0
24,75,1,2,9,75,2,0,1,2,2,3,1,2,69,1,1,1,1,0
27,94,1,0,6,86,1,2,1,1,1,2,0,0,71,0,0,1,0,0
22,93,1,2,6,69,2,0,2,0,0,3,0,0,69,1,1,1,1,1
19,75,2,1,8,98,0,1,0,1,1,3,2,1,67,1,1,1,0,0
24,84,0,1,7,52,1,0,0,2,1,3,0,0,66,1,1,1,1,0
31,89,1,1,7,70,1,2,0,2,2,2,0,1,71,0,1,1,0,0
19,70,1,0,9,86,0,2,2,1,1,2,0,0,63,1,1,1,1,1
14,67,1,0,4,71,1,0,2,1,1,4,1,0,62,0,1,1,0,0
27,99,1,2,5,63,1,0,1,2,1,4,0,0,73,0,1,1,0,0
19,85,2,1,4,71,0,1,1,2,0,3,0,2,66,0,1,1,0,0
7,99,2,1,9,94,1,3,2,2,2,2,2,1,72,1,1,1,1,0
25,74,2,0,8,77,0,1,0,1,1,2,2,1,67,0,1,1,1,0
17,88,0,0,5,67,1,0,1,2,1,3,2,0,65,1,1,0,0,0
19,69,1,1,7,84,1,2,1,1,1,4,0,0,66,1,1,1,1,0
22,70,2,1,7,81,0,3,1,1,1,2,2,1,68,0,1,1,1,0
21,80,1,2,4,78,1,1,1,2,1,4,0,0,69,0,0,1,1,0
24,73,2,1,7,70,1,0,2,1,0,3,2,0,68,0,1,1,1,0
17,67,1,2,5,54,1,0,0,1,0,2,0,1,61,1,1,1,1,0
23,71,2,0,8,81,1,3,1,2,2,2,0,0,68,1,0,1,1,0
18,61,2,0,5,71,0,3,2,2,1,3,1,0,64,1,0,1,1,0
24,88,1,0,7,71,0,1,0,2,1,3,1,1,67,1,1,0,1,0
24,80,0,2,9,62,2,3,2,0,1,3,0,1,68,1,1,1,1,0
14,64,1,2,8,62,0,1,1,2,2,4,0,1,61,1,1,1,0,1
27,67,2,0,8,89,0,1,0,0,2,3,2,0,66,0,1,1,0,0
17,64,2,0,7,74,0,2,1,0,2,2,2,0,64,0,1,1,1,0
25,85,0,1,5,55,0,3,2,1,0,3,0,1,67,0,1,1,0,0
22,64,1,2,6,52,0,2,2,1,0,4,1,1,64,0,0,1,0,0
31,90,2,2,7,61,0,0,0,1,2,3,0,0,72,1,1,1,0,0
19,61,1,1,7,74,0,2,2,1,0,3,2,2,62,1,1,1,0,0
18,70,2,1,5,81,0,2,0,1,0,2,0,2,63,0,0,1,1,0
20,96,2,2,8,57,0,1,0,1,1,4,0,0,70,1,0,1,0,0
18,89,2,1,5,72,0,3,1,1,2,3,1,1,69,1,1,1,0,0
25,63,0,1,9,54,1,3,1,0,2,2,0,0,64,1,1,1,1,0
10,93,0,1,7,52,1,2,1,1,2,3,2,0,66,1,1,1,0,0
14,80,0,1,8,93,1,3,0,2,2,4,0,0,67,0,0,1,1,0
14,94,2,2,8,83,1,4,1,0,0,5,2,0,71,0,1,1,1,1
26,84,1,2,10,89,1,0,0,2,2,1,0,2,70,0,0,1,1,0
30,87,0,1,7,59,1,2,1,1,1,3,0,1,69,1,1,1,0,0
19,100,1,0,6,66,2,0,0,1,1,3,0,1,68,1,1,1,0,0
19,69,1,2,6,72,1,1,0,1,1,1,1,0,64,0,1,0,1,0
20,85,2,1,9,83,0,3,1,1,2,3,1,0,70,1,1,1,1,1
27,78,2,0,5,77,1,0,1,0,1,3,2,0,69,1,0,1,1,0
14,62,1,1,6,78,1,0,2,1,2,2,1,0,63,0,1,1,1,0
21,61,0,1,7,58,1,1,1,0,0,3,0,0,60,0,1,1,0,0
26,65,2,0,7,74,1,2,0,1,0,4,0,0,65,0,1,1,0,0
23,86,1,1,8,91,1,0,0,1,0,0,0,0,67,1,1,1,0,0
21,83,1,0,5,75,0,1,1,1,0,4,1,0,66,1,1,1,0,0
26,82,0,2,7,60,1,3,0,1,1,3,2,0,68,0,1,0,0,0
4,61,0,2,7,71,2,0,0,0,2,1,2,0,58,1,1,1,1,0
24,79,0,2,5,88,1,0,1,1,1,3,0,1,67,0,1,1,1,0
16,97,1,1,8,57,0,0,1,1,2,4,0,0,68,1,1,1,1,1
9,76,1,1,7,79,1,1,0,1,1,3,0,0,62,0,1,1,1,0
23,85,0,2,7,98,2,2,0,1,0,3,2,1,69,0,1,0,0,0
28,91,1,2,6,69,2,1,1,2,1,4,0,2,73,1,0,1,1,0
19,91,2,0,6,52,1,2,0,1,0,4,0,1,66,1,1,1,0,1
26,81,0,1,5,82,1,0,1,1,0,5,2,0,67,0,1,1,1,1
30,94,1,1,8,52,1,1,1,0,1,4,0,0,71,0,1,1,0,0
28,76,1,1,9,60,1,1,0,1,1,2,0,2,66,1,1,1,1,0
30,96,2,1,10,52,1,0,2,2,2,4,1,1,74,0,1,1,1,0
24,70,1,2,8,59,0,2,0,2,2,5,0,0,67,1,1,1,0,0
20,71,2,1,6,93,2,2,1,2,0,2,2,0,68,1,1,1,0,0
10,62,1,1,6,87,2,2,0,2,1,3,0,0,61,1,1,1,0,0
19,92,1,2,8,67,1,2,1,1,0,2,0,0,69,0,0,1,0,0
15,77,0,1,7,95,0,4,0,1,2,4,0,1,65,1,1,1,1,0
33,69,1,2,7,83,1,2,1,0,1,2,2,0,71,1,1,1,1,0
19,69,1,0,7,72,1,1,0,0,2,2,0,2,61,0,1,1,0,0
21,96,1,2,9,53,1,0,0,2,1,3,1,0,70,1,1,1,1,0
23,93,1,0,6,87,1,2,1,1,1,3,0,1,70,1,0,1,0,0
20,82,1,2,9,69,0,1,1,1,2,3,1,0,69,1,1,1,1,0
30,85,2,0,7,65,2,2,0,1,0,3,0,0,70,0,1,1,1,0
16,79,2,1,6,64,1,4,0,0,2,4,1,0,67,1,1,1,1,1
21,76,0,1,6,50,0,2,0,1,0,4,2,1,63,0,1,1,0,0
16,97,1,1,7,87,1,1,2,1,1,3,0,0,70,0,1,1,0,0
12,65,1,1,8,57,1,1,2,2,2,5,0,0,61,0,0,1,0,1
16,77,0,2,6,76,0,1,0,1,1,1,2,1,64,0,1,1,1,0
20,74,1,1,8,51,2,2,1,1,0,3,1,0,65,1,1,1,1,0
17,80,1,1,6,81,1,1,1,2,1,1,1,2,65,1,1,1,0,0
16,78,1,0,7,68,2,3,0,2,2,3,2,2,66,0,0,1,1,0
12,81,2,2,5,82,0,1,1,2,2,3,0,2,66,0,1,1,1,0
20,66,0,1,8,54,1,2,1,0,2,2,2,0,63,1,1,1,1,0
11,81,0,2,7,63,1,3,1,1,1,2,2,0,66,1,1,1,1,0
25,70,1,1,9,56,2,0,0,1,2,1,0,2,64,1,1,1,1,0
20,67,2,0,8,82,1,3,0,2,1,4,0,0,65,1,1,1,0,1
11,63,2,1,7,55,0,3,2,1,2,1,2,0,62,1,0,1,0,0
18,91,0,2,9,81,2,4,2,1,1,5,0,1,71,1,1,1,1,0
15,77,1,1,8,57,0,1,0,1,1,2,1,0,63,1,1,1,1,0
22,85,1,2,9,97,2,0,1,2,0,3,1,1,70,1,1,1,0,0
28,89,1,0,6,71,0,2,0,1,1,4,1,1,70,1,0,1,1,0
9,87,1,1,8,56,1,1,1,2,2,3,1,1,65,0,1,1,0,0
21,79,2,2,8,52,1,1,0,1,1,3,0,0,66,0,1,1,1,1
19,76,1,0,5,66,1,2,1,1,2,4,1,0,66,0,0,1,1,0
24,75,1,0,9,95,2,0,1,2,2,2,1,0,68,1,1,1,0,0
21,86,2,2,5,57,1,1,0,1,0,3,0,0,68,1,0,1,0,0
15,80,2,1,5,90,1,4,1,2,1,3,0,0,69,0,0,1,1,0
18,94,1,1,4,71,1,3,2,0,2,3,1,0,71,0,1,1,1,0
15,95,1,1,8,90,0,2,0,1,0,1,2,0,69,1,0,1,1,0
26,67,1,2,5,94,1,0,1,1,2,2,1,0,68,1,1,1,1,0
20,65,1,2,6,100,1,2,0,2,1,5,0,1,67,1,1,1,1,0
31,85,2,1,8,53,1,2,0,2,2,3,0,0,72,1,1,1,0,0
20,72,2,1,7,90,2,2,1,1,1,3,0,0,68,1,1,1,1,0
16,61,2,1,6,53,0,0,2,1,2,4,0,1,60,0,1,1,1,1
11,96,1,2,5,66,2,2,0,1,1,4,0,1,68,1,1,1,0,0
9,69,2,1,7,82,2,1,2,2,2,2,0,0,65,0,1,1,1,0
10,97,0,2,8,72,2,0,0,1,1,3,2,1,67,0,1,1,0,0
22,89,0,1,8,78,0,4,2,1,2,3,0,0,70,0,0,1,0,0
23,91,1,0,10,98,2,0,0,2,0,3,0,0,70,0,0,1,1,0
11,68,1,1,6,91,0,3,0,2,0,2,1,2,61,0,1,1,0,0
25,69,2,0,5,68,1,2,2,2,2,4,1,2,68,1,1,1,1,0
17,81,1,2,7,80,2,1,0,1,0,3,2,0,67,0,1,1,0,0
21,67,1,2,7,52,1,3,0,1,0,3,0,1,62,0,1,1,0,1
30,72,1,0,7,73,1,0,2,1,1,4,0,1,66,1,1,1,0,0
25,73,2,1,6,80,1,3,2,1,2,2,0,2,69,0,1,1,1,0
18,66,1,2,4,86,1,2,1,1,0,4,1,0,66,0,1,1,1,0
15,68,1,1,5,95,1,0,2,1,0,5,1,0,64,0,1,1,1,0
7,92,2,1,8,64,2,1,0,0,1,4,2,0,66,1,1,1,0,0
16,67,1,1,7,95,0,2,1,1,1,5,0,0,63,1,1,1,0,1
19,61,0,2,8,83,0,1,1,1,0,3,0,0,62,1,0,1,1,0
14,85,1,1,8,54,0,1,2,1,0,4,2,1,65,1,0,1,1,0
19,99,0,2,8,69,0,0,2,1,0,2,0,1,68,1,0,1,0,0
20,73,2,2,8,74,0,1,0,0,0,4,0,1,65,1,0,1,1,0
19,65,1,2,7,68,0,1,0,0,1,4,1,0,63,0,1,1,1,0
16,83,2,2,7,56,1,3,1,1,0,2,0,0,68,1,1,1,1,0
21,96,1,2,4,78,0,2,2,1,2,2,0,0,72,1,0,1,1,0
23,91,2,0,6,57,1,2,0,1,2,3,0,0,69,1,0,1,0,0
13,85,0,1,6,96,0,1,0,2,2,5,2,2,66,1,1,1,0,0
28,73,0,0,7,93,2,2,0,2,1,3,1,0,68,1,0,1,1,0
19,82,0,0,6,74,1,1,1,2,1,2,0,1,64,1,1,1,0,0
20,64,1,0,8,53,0,1,0,1,2,2,0,0,61,1,1,1,1,0
24,87,0,1,6,78,2,0,0,0,1,2,2,0,67,1,1,1,0,1
21,89,1,0,9,80,1,0,1,0,1,3,2,1,68,1,1,1,1,0
26,99,1,1,6,94,2,2,1,1,2,3,0,0,74,1,1,1,0,0
22,70,1,2,6,53,1,3,1,2,2,2,0,0,67,0,1,1,1,0
16,61,1,2,6,85,1,2,1,1,2,3,0,0,64,1,0,1,1,0
22,82,0,2,6,78,1,3,1,2,1,3,0,1,69,1,1,1,0,0
13,88,2,1,9,59,1,0,0,1,0,3,0,2,63,0,0,1,1,1
21,92,1,1,7,56,1,0,0,1,1,4,0,1,67,0,0,1,0,0
20,68,2,1,7,85,1,1,1,1,1,3,1,2,65,1,1,1,1,0
